county,countyfips,pct_ba,num_ba,pct_bafemale,num_bafemale,pct_bamale,num_bamale,pct_bablack,num_bablack,pct_bawhite,num_bawhite,income,pct_popbelow18,num_popbelow18,pct_pop18to39,num_pop18to39,pct_pop40up,num_pop40up,pct_black,num_black,pct_foreignborn,num_foreignborn,pct_white,num_white,pct_poverty,num_poverty,pct_unemployed,num_unemployed
huntingdon,42061,19.2,6103,23.2,3349,15.9,2754,1.3,22,20.4,5809,"65,557",17.7,7742,27.5,12024,54.7,23887,4.6,2020,0.9,399,90,39268,10.6,4111,4.6,874
indiana,42063,27,14671,28.2,7687,25.7,6984,4.8,52,27.3,13910,"60,208",18,14946,32,26546,50,41550,2.3,1886,2.4,2017,92.2,76532,14,10879,6.7,2651
jefferson,42065,18.4,5767,20.5,3215,16.3,2552,53,53,18.3,5563,"58,686",21.4,9365,24.2,10611,54.5,23888,0.4,157,0.4,189,95.9,42057,14.1,6081,4.2,858
juniata,42067,15,2464,18,1468,12.1,996,20.5,16,15.1,2343,"66,318",22.1,5161,24.8,5799,53.1,12419,1,233,2.5,574,92.6,21660,9.7,2239,2.1,240
lackawanna,42069,30.6,46745,30.9,24428,30.3,22317,8.9,365,32.1,41973,"66,223",20.5,44213,27.3,58926,52.3,113007,3.1,6807,6.7,14567,81.3,175665,14.4,29906,4.9,5182
lancaster,42071,32.4,123275,33.6,66129,31.1,57146,24.9,3266,33.5,107824,"86,959",23.1,128950,27.6,153886,49.3,275095,4,22388,5.8,32433,81.6,455405,8.2,44440,3.4,9809
lawrence,42073,23.4,14341,23.7,7545,23,6796,17.1,336,23.7,13392,"61,931",20,17000,24.4,20742,55.6,47282,3.8,3223,1.3,1125,89.5,76055,11.9,9813,5.7,2305
lebanon,42075,24.3,24194,25.8,13176,22.7,11018,22.2,406,25.7,21723,"78,425",22.5,32492,26,37442,51.5,74252,2.2,3168,4.3,6272,80.7,116318,10.1,14171,4.3,3114
lehigh,42077,34.2,89104,34.9,46916,33.4,42188,24.4,3667,38.7,68980,"80,079",22.3,84498,28.3,107328,49.4,186966,6.5,24476,14.4,54656,62.3,236150,11.6,42770,5.9,11603
luzerne,42079,25.3,59052,27,31862,23.6,27190,10.2,913,27.3,52158,"63,691",20.3,66457,27.3,89318,52.5,171900,5,16461,9.6,31554,75.8,248337,15.3,48510,5.8,9426
lycoming,42081,24.8,19803,25.9,10660,23.6,9143,14.4,446,25,18274,"63,917",20.5,23296,27.4,31151,52,59042,4.3,4828,1.6,1806,88.5,100481,12.8,13821,5.1,2854
mckean,42083,20.8,5943,24.6,3406,17.3,2537,3.4,22,20.7,5523,"62,905",19.4,7724,25.8,10308,54.8,21872,2.3,902,1.5,601,92.9,37055,13.7,5070,4.9,885
mercer,42085,25.6,20110,27.8,11183,23.4,8927,15.3,579,26,18446,"59,976",18.9,20692,25.5,27885,55.5,60680,5.8,6358,1.8,1933,88.1,96236,13.2,13486,5.3,2651
mifflin,42087,14.9,4840,16.2,2695,13.6,2145,38.9,133,15.1,4611,"63,953",22.6,10428,23.4,10776,53.9,24837,1,449,1.2,560,93.5,43044,16.2,7360,2.7,581
monroe,42089,27.4,32905,30.4,18367,24.3,14538,29.3,4526,28.5,23097,"83,565",19.1,32041,26.2,43968,54.6,91506,13.9,23309,11.2,18819,63.7,106651,10.7,17564,6.9,5816
montgomery,42091,53,325577,54.1,171649,51.9,153928,34.2,19191,54.7,255310,"113,915",21.3,184693,27,233958,51.7,448922,9.3,80978,11.5,99605,73.1,633871,6.5,55064,4.5,21318
montour,42093,38.7,5168,39.6,2756,37.6,2412,44,120,36.9,4469,"76,976",20.1,3642,26,4705,53.9,9756,2.4,439,5.6,1014,89.7,16230,8.8,1526,2.9,255
northampton,42095,34.7,77720,35.3,40622,34.1,37098,23.9,2934,36.1,63294,"89,184",19.2,61011,28.5,90853,52.3,166716,6.3,20188,8.6,27467,74.2,236417,8.8,26729,4.6,7665
northumberland,42097,19.4,12884,22.8,7495,16,5389,4.2,79,19.9,12131,"60,583",19.7,17819,24.9,22573,55.4,50168,2.6,2372,1.6,1441,89.9,81389,12.6,10939,3.7,1568
perry,42099,20.2,6763,22.2,3710,18.2,3053,15.8,47,20.3,6441,"79,444",21,9699,24.5,11350,54.5,25190,0.8,369,1.7,780,94,43464,8,3650,3.1,724
philadelphia,42101,35.4,385517,36,211522,34.7,173995,21.3,89050,51.9,220560,"61,953",21.2,334799,35.7,564712,43.1,680195,39.4,621637,15.2,239646,35.1,555069,21.4,327969,8.1,66252
pike,42103,29.7,13695,31.9,7301,27.5,6394,37.6,1032,29.1,10948,"81,323",17.2,10433,22.8,13821,60,36367,6,3660,8.2,4997,79.1,47981,9.8,5888,7.5,2155
potter,42105,18.2,2161,21.3,1271,15,890,0,0,18,2050,"59,020",20,3237,21.6,3490,58.4,9461,0.4,72,1.4,227,95.2,15410,13,2074,3.8,279
schuylkill,42107,19.9,20737,21.5,10869,18.4,9868,3.1,103,20.9,19758,"68,313",19.9,28557,25.7,36963,54.4,78038,2.9,4118,2.7,3945,87.7,125928,12.8,17389,5.6,3852
snyder,42109,20.6,5517,22.8,3092,18.4,2425,0,0,20.7,5292,"66,876",20.5,8114,28.7,11368,50.9,20186,0.7,259,1.7,665,94.5,37487,9.4,3439,2.4,480
somerset,42111,17.9,9788,20.5,5339,15.6,4449,0.5,8,18.1,9329,"61,446",18.2,13227,23.8,17327,58,42245,2.6,1909,1.4,989,93.9,68331,11,7531,4.9,1674
sullivan,42113,21.5,1048,23.8,568,19.3,480,15.2,5,21.5,1015,"69,764",10.4,615,21.9,1291,67.6,3982,2.3,138,1.8,105,93.8,5520,11.6,657,5.8,156
susquehanna,42115,19.5,5547,21.1,2983,17.8,2564,28.2,20,19.6,5329,"68,487",18.8,7194,22.2,8482,59,22543,0.3,99,2,753,94.7,36197,11.4,4315,5.9,1031
tioga,42117,22.3,6546,25.6,3778,18.9,2768,11.6,18,22.4,6350,"64,899",19.6,8038,24.7,10132,55.6,22775,0.8,336,1.4,556,95.7,39174,11.7,4681,4.6,876
union,42119,26.5,7725,30.8,4091,22.9,3634,2,41,27.9,7169,"76,404",17.4,7370,31.8,13487,50.9,21599,5.9,2526,3.9,1637,88.6,37633,9,3025,2.2,387
venango,42121,19.1,7074,21.3,4007,16.8,3067,11.9,41,19.2,6768,"61,522",19,9469,22.5,11222,58.5,29110,1.3,628,0.8,419,93.6,46630,13.2,6418,5.6,1281
warren,42123,19.9,5571,22.3,3117,17.6,2454,30.2,38,19.8,5315,"60,480",19.6,7447,22.6,8588,57.7,21885,0.8,314,1.2,437,94.4,35784,10.8,4025,4.4,754
washington,42125,32.9,50236,32.8,25552,33.1,24684,12.3,542,33.5,47049,"78,958",19.6,41070,25.4,53407,55,115565,3.2,6683,2.4,5117,90.1,189198,9.6,19665,4.8,5088
wayne,42127,23.4,9294,26.1,4801,21.1,4493,2,31,24.5,8707,"62,381",16.4,8408,23.5,12026,60.1,30828,3.2,1657,4.3,2205,89,45605,12.1,5824,6,1342
westmoreland,42129,32.8,86280,33,44502,32.5,41778,19.3,1063,32.8,80883,"74,109",18.2,64150,23.6,83120,58.2,205230,2.6,9148,1.9,6790,91.8,323709,10.3,35494,4.8,8539
wyoming,42131,22.1,4155,24.5,2307,19.8,1848,16.7,7,22.2,3983,"72,460",19.2,4975,25,6496,55.8,14496,0.6,153,1.7,433,93.9,24372,11.5,2899,5,630
york,42133,27.6,89837,29.2,48528,25.9,41309,21.7,3941,28,77499,"84,829",21.9,101294,26.7,123708,51.4,237922,6.3,29054,4.1,19202,81.2,375793,8.4,37988,4.5,11026
