county,year,state_po,county_fips,totalvotes,democrat,other,republican,democrat_reg,republican_reg,other_parties_reg,all_parties_reg
Jefferson,2020,PA,42065.0,22824,4527.0,337.0,17960.0,8374.0,20008,3658.0,32040
Jefferson,2024,PA,42065.0,23129,4707.0,187.0,18235.0,5808.0,"19,750",153.0,"28,799"
Juniata,2020,PA,42067.0,12043,2253.0,141.0,9649.0,3364.0,9635,1491.0,14490
Juniata,2024,PA,42067.0,12104,2290.0,93.0,9721.0,2741.0,"10,127",51.0,"14,353"
Lackawanna,2020,PA,42069.0,115410,61991.0,1085.0,52334.0,85956,47059,16374,149389
Lackawanna,2024,PA,42069.0,116590,59510.0,819.0,56261.0,79207.0,"52,305",660.0,"150,949"
Lancaster,2020,PA,42071.0,280239,115847.0,4183.0,160209.0,115332.0,181333,57631.0,354296
Lancaster,2024,PA,42071.0,289257,120119.0,2877.0,166261.0,114763.0,"187,151",0.0,"365,989"
Lawrence,2020,PA,42073.0,46076,15978.0,501.0,29597.0,24190.0,26566,6711.0,57467
Lawrence,2024,PA,42073.0,47110,15440.0,323.0,31347.0,20877.0,"30,132",267.0,"58,470"
Lebanon,2020,PA,42075.0,71652,23932.0,989.0,46731.0,27645.0,50937,14059.0,92641
Lebanon,2024,PA,42075.0,73692,24734.0,676.0,48282.0,26686.0,"53,514",558.0,"95,866"
Lehigh,2020,PA,42077.0,184713,98288.0,2166.0,84259.0,119239.0,85499,44649.0,249387
Lehigh,2024,PA,42077.0,189810,96317.0,2286.0,91207.0,115281.0,"91,614",0.0,"258,720"
Luzerne,2020,PA,42079.0,153321,64873.0,1519.0,86929.0,106361.0,86369,28158.0,220888
Luzerne,2024,PA,42079.0,156150,62504.0,1202.0,92444.0,88747.0,"91,435",0.0,"209,688"
Lycoming,2020,PA,42081.0,59254,16971.0,821.0,41462.0,20996.0,42871,9899.0,73766
Lycoming,2024,PA,42081.0,59685,17216.0,508.0,41961.0,19043.0,"44,579",420.0,"73,967"
Mckean,2020,PA,42083.0,19466,5098.0,285.0,14083.0,6509.0,15780,3560.0,25849
Mckean,2024,PA,42083.0,19682,5115.0,166.0,14401.0,5632.0,"16,345",165.0,"25,750"
Mercer,2020,PA,42085.0,57954,21067.0,744.0,36143.0,29345.0,35758,9831.0,74934
Mercer,2024,PA,42085.0,58410,20145.0,504.0,37761.0,24809.0,"38,837",377.0,"74,018"
Mifflin,2020,PA,42087.0,21502,4603.0,229.0,16670.0,6652.0,17703,3006.0,27361
Mifflin,2024,PA,42087.0,22071,4735.0,152.0,17184.0,5518.0,"18,558",124.0,"27,071"
Monroe,2020,PA,42089.0,83829,44060.0,1043.0,38726.0,54511.0,40395,23394.0,118300
Monroe,2024,PA,42089.0,85525,42007.0,842.0,42676.0,51303.0,"43,697",696.0,"120,015"
Montgomery,2020,PA,42091.0,510157,319511.0,5186.0,185460.0,301803.0,211868,95524.0,609195
Montgomery,2024,PA,42091.0,520906,317103.0,5492.0,198311.0,311238.0,"214,798",0.0,"632,813"
Montour,2020,PA,42093.0,9771,3771.0,156.0,5844.0,4813.0,6914,2290.0,14017
Montour,2024,PA,42093.0,9908,3862.0,102.0,5944.0,3903.0,"6,697",58.0,"12,580"
Northampton,2020,PA,42095.0,170942,85087.0,2001.0,83854.0,102476.0,81395,43562.0,227433
Northampton,2024,PA,42095.0,178215,86655.0,1743.0,89817.0,99689.0,"87,692",0.0,"235,323"
Northumberland,2020,PA,42097.0,42283,12677.0,654.0,28952.0,19167.0,30468,7984.0,57619
Northumberland,2024,PA,42097.0,43522,12863.0,419.0,30240.0,16363.0,"32,574",350.0,"57,038"
Perry,2020,PA,42099.0,24652,5950.0,409.0,18293.0,6590.0,19673,3771.0,30034
Perry,2024,PA,42099.0,25725,6385.0,267.0,19073.0,6138.0,"21,071",192.0,"31,265"
Philadelphia,2020,PA,42101.0,741377,603790.0,4847.0,132740.0,856949.0,130566,141768.0,1129283
Philadelphia,2024,PA,42101.0,721441,568571.0,8559.0,144311.0,808522.0,"136,137",0.0,"1,117,295"
Pike,2020,PA,42103.0,32554,13019.0,322.0,19213.0,14847.0,20343,9479.0,44669
Pike,2024,PA,42103.0,34950,13132.0,281.0,21537.0,14128.0,"22,838",244.0,"47,262"
Potter,2020,PA,42105.0,9064,1726.0,99.0,7239.0,2305.0,7755,1250.0,11310
Potter,2024,PA,42105.0,9085,1675.0,76.0,7334.0,1845.0,"8,171",57.0,"11,273"
Schuylkill,2020,PA,42107.0,70603,20727.0,1005.0,48871.0,30140.0,48777,11505.0,90422
Schuylkill,2024,PA,42107.0,73184,20882.0,637.0,51665.0,26686.0,"52,911",513.0,"92,634"
Snyder,2020,PA,42109.0,19140,4910.0,247.0,13983.0,5378.0,15390,2940.0,23708
Snyder,2024,PA,42109.0,20038,5239.0,135.0,14664.0,4998.0,"16,112",141.0,"24,139"
Somerset,2020,PA,42111.0,40543,8654.0,423.0,31466.0,13789.0,30659,4837.0,49285
Somerset,2024,PA,42111.0,40881,8596.0,292.0,31993.0,11405.0,"33,246",231.0,"49,841"
Sullivan,2020,PA,42113.0,3595,921.0,55.0,2619.0,1286.0,2588,455.0,4329
Sullivan,2024,PA,42113.0,3721,976.0,24.0,2721.0,1147.0,"2,872",554.0,"4,573"
Susquehanna,2020,PA,42115.0,21752,6236.0,309.0,15207.0,7268.0,16353,3591.0,27212
Susquehanna,2024,PA,42115.0,22404,6093.0,197.0,16114.0,6420.0,"17,445",146.0,"27,728"
Tioga,2020,PA,42117.0,21075,4955.0,378.0,15742.0,6033.0,17377,3508.0,26918
Tioga,2024,PA,42117.0,21587,5100.0,215.0,16272.0,5216.0,"18,313",157.0,"27,195"
Union,2020,PA,42119.0,20115,7475.0,284.0,12356.0,7902.0,14046,4311.0,26259
Union,2024,PA,42119.0,21188,8015.0,204.0,12969.0,8281.0,"14,823",114.0,"27,678"
Venango,2020,PA,42121.0,26528,7585.0,374.0,18569.0,9736.0,19276,4284.0,33296
Venango,2024,PA,42121.0,26732,7624.0,225.0,18883.0,8519.0,"20,248",218.0,"33,274"
Warren,2020,PA,42123.0,20650,6066.0,347.0,14237.0,9698.0,16761,4972.0,31431
Warren,2024,PA,42123.0,20723,6212.0,166.0,14345.0,6906.0,"15,834",127.0,"26,871"
Washington,2020,PA,42125.0,118478,45088.0,1310.0,72080.0,67037.0,68212,18758.0,154007
Washington,2024,PA,42125.0,121617,44910.0,778.0,75929.0,55901.0,"73,411",724.0,"148,820"
Wayne,2020,PA,42127.0,28089,9191.0,261.0,18637.0,9982.0,20058,5665.0,35705
Wayne,2024,PA,42127.0,29444,9150.0,223.0,20071.0,9260.0,"21,928",197.0,"37,370"
Westmoreland,2020,PA,42129.0,204697,72129.0,2350.0,130218.0,103415.0,119733,30688.0,253836
Westmoreland,2024,PA,42129.0,211450,74904.0,1538.0,135008.0,91183.0,"131,914",0.0,"255,704"
Wyoming,2020,PA,42131.0,14858,4704.0,218.0,9936.0,5353.0,10861,2128.0,18342
Wyoming,2024,PA,42131.0,15052,4680.0,150.0,10222.0,4775.0,"11,349",89.0,"18,421"
York,2020,PA,42133.0,238471,88114.0,3624.0,146733.0,101536.0,159898,49674.0,311108
York,2024,PA,42133.0,249210,91926.0,2400.0,154884.0,99649.0,"172,079",0.0,"330,747"
